Address,Baths,Beds,Price,Size,Suffix
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"22,900,000","2,548 sqft", total price
"Mirpur wasa road shewerapara, Dhka",3,3,"3,500","1,250 sqft", per sqft
"Holding No # 669, Gabtola, Nayatola jaha Box Lane, Mogbazar, Dhaka 1217",2,3,"5,400","1,230 sqft", per sqft
"Sector # 5, Road # 7 @ Uttara",4,5,"13,500,000","1,895 sqft", total price
Mirpur,4,3,"24,000,000","2,200 sqft", total price
Mirpur,4,3,"24,000,000","2,200 sqft", total price
Mirpur,2,4,"9,000","2,200 sqft", per sqft
Mirpur DOHS,3,3,"10,000","2,200 sqft", per sqft
Mirpur DOHS,3,3,"10,000","2,200 sqft", per sqft
"Address: Holding # 465 , Senpara Porbota, Mirpur 13, Dhaka",3,3,"4,800","1,495 sqft", per sqft
"109/5/B, West Dhanmondi, Dhaka.",3,3,"6,800","1,200 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,690","2,558 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"23,900,000","2,560 sqft", total price
"Address: Holding # 465 , Senpara Porbota, Mirpur 13, Dhaka",3,3,"4,800","1,550 sqft", per sqft
"road-12,house-21,block-d,section-12",2,2,"3,000,000",720 sqft, total price
"Plot# 403 404, Road # 8, Block -D, Bashundhara, Dhaka.",3,3,"6,800","1,498 sqft", per sqft
"594,Chalabon,Dakshinkhan near matir mosjid & CNG Pump",2,2,"3,500",955 sqft, per sqft
"Front of Chines, Sha-Alibugh , Mirpur-1, Dhaka-1216",3,4,"4,800,000","1,550 sqft", total price
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",3,4,"6,500","2,133 sqft", per sqft
"1, Central Bashabo.",3,3,"5,500","1,470 sqft", per sqft
"249/55,West Mollartak Borttola,Dakkinkhan,beside uttara sector-4",3,3,"6,000,000","1,250 sqft", total price
"Sector # 13, Road # 17 @ Uttara, Dhaka - 1230",4,3,"12,000,000","1,600 sqft", total price
"west manikdi, namapara, cantonment, dhaka.",2,3,"3,500","1,196 sqft", per sqft
"modumita road, tongi , opposite Bata show room.",2,3,"3,500","1,045 sqft", per sqft
"Plot No.109/5/B,west Dhanmondi,Dhaka.",3,3,"6,800","1,210 sqft", per sqft
"haj camp , besides civil aviation quarter.",3,3,"4,800","1,330 sqft", per sqft
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,890 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"22,900,000","2,562 sqft", total price
"Gulshan-2, Dhaka",4,4,"16,300","4,139 sqft", per sqft
"south mollartak borttola,ashkona beside hajjcamp civil aviation colony",2,3,"4,000,000","1,036 sqft", total price
"Sector - 11, Uttara, Dhaka .",4,3,"11,000,000","1,507 sqft", total price
"Sector - 07, Uttara, Dhaka .",4,4,"8,500","2,650 sqft", per sqft
"Plot # 403,404, Road# 8, Block-D, Bashundhara R/A",3,3,"6,500","1,510 sqft", per sqft
Uttara Dhaka -1230,4,3,"7,350","1,910 sqft", per sqft
Mirpur,3,3,"18,000,000","2,500 sqft", total price
Mirpur,3,3,"18,000,000","2,500 sqft", total price
Uttara,3,3,"10,000,000","1,500 sqft", total price
Mirpur,4,4,"16,000,000","2,200 sqft", total price
Gulshan,4,3,"27,000,000","2,250 sqft", total price
lalbag,1,2,"1,275,000",440 sqft, total price
Gulshan Dhaka,4,3,"40,300,000","2,600 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,690","2,562 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"23,900,000","2,550 sqft", total price
"Sector # 11, Road # 15 @ Uttara, Dhaka - 1230",3,3,"11,000,000","1,600 sqft", total price
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",3,4,"6,500","2,140 sqft", per sqft
"road-04,house-227,228,block-ta,section-12",2,2,"2,700,000",750 sqft, total price
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,887 sqft", per sqft
Basundhara R/A,3,3,"5,500","1,550 sqft", per sqft
"594,Chalabon,Dakshinkhan,Matir Mosjid,near CNG Pump & Santa Garments",2,2,"3,500",950 sqft, per sqft
"249/55,West Mollartak Borttola,Dakshinkhan,dhaka beside uttara sector-4",3,3,"4,800","1,253 sqft", per sqft
"Road # 23, House # B-177, Mohakhali DOHS",3,3,"14,000","1,050 sqft", per sqft
"house#12 road#13, South barishara DIT project merul, badda, Dhaka",2,2,"4,500,000",775 sqft, total price
"109/5/B,west Dhanmondi",3,3,"6,800","1,221 sqft", per sqft
"Solimuddin Market Road , Mirpur-1, Dhaka-1216",3,3,"3,500,000","1,050 sqft", total price
হোপ স্কুল এবং গ্রিন ফিল্ড স্কুল এর কাছেই মিরপুর ১০নম্বর এ,2,2,"2,800,000",650 sqft, total price
"Plot # 629&630 Road # 09, Block # I, Bashundhara R/A, Dhaka-1229.",5,4,"7,000","2,450 sqft", per sqft
"তেতুল তলা, হজ্জ কেম্প, আশ কোনা এয়ারপোট, উওরা, ঢাকা।",2,3,"3,800","1,120 sqft", per sqft
"Sector # 10, Road # 3 @ Uttara, Dhaka - 1230",4,3,"7,000,000","1,400 sqft", total price
"তেতুল তলা, হজ্জ কেম্প, আশ কোনা এয়ারপোট, উওরা, ঢাকা।",2,3,"3,600","1,080 sqft", per sqft
motijheel,2,2,"3,500,000",820 sqft, total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,690","2,550 sqft", per sqft
"ULUDAHA SOBUR GONI MARKET,BAUNIYA, TURAG",2,3,"3,500","1,120 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,550 sqft", per sqft
"road-08,house-141,block-E,section-11",2,2,"4,000,000",720 sqft, total price
"109/5/B, West Dhanmondi, Dhaka.",3,3,"6,800","1,200 sqft", per sqft
"1, Central Bashabo.",3,3,"5,500","1,480 sqft", per sqft
"road-1,house-10,block-b,section-12",3,3,"8,000,000","1,300 sqft", total price
"road-1,house-10,block-b,section-12",6,6,"16,000,000","2,600 sqft", total price
"261/3,manikdi namapara road,dhaka cantonment beside ECB chottor",2,3,"3,500","1,284 sqft", per sqft
"road-1,house-10,block-b,section-12",3,3,"8,000,000","1,350 sqft", total price
"south mollartak borttola,dakhinkhan uttara beside hajjcamp civil aviation colony",2,3,"4,000,000","1,234 sqft", total price
Uttara,3,3,"7,777","1,350 sqft", per sqft
"Plot-448, Road no-09, Block-K, Bashundhara r/a",4,4,"6,500","2,135 sqft", per sqft
Basundhara R/A,3,3,"7,200","1,600 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A ( Near Mehedi Mart)",5,4,"8,699","2,549 sqft", per sqft
Bhasantek Dewanpara Panir Pump,2,2,"2,700,000","1,020 sqft", total price
"road-4,house-227,228,block-ta,section-12",2,2,"2,800,000",750 sqft, total price
Uttara Dhaka1230,4,3,"10,500,000","1,700 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,568 sqft", per sqft
BasundharaR/A,3,3,"6,300","1,550 sqft", per sqft
"Solimuddin Market Road , Mirpur-1, Dhaka-1216",3,3,"4,100,000","1,240 sqft", total price
Noorjahan road mohammadpur dhaka,3,4,"8,500,000","1,299 sqft", total price
Gulshan (2),5,4,"60,000,000","3,620 sqft", total price
Gulshan Dhaka,5,4,"31,000,000","2,600 sqft", total price
"Alabdirtek, Pallabi, Dhaka.",2,3,"3,200","1,042 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A ( Near Mehedi Mart)",5,4,"8,700","2,550 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,690","2,566 sqft", per sqft
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,892 sqft", per sqft
"462, South Monipur, Wasa Road, Mirpur, Dhaka.",3,3,"4,700","1,584 sqft", per sqft
"462, South Monipur, Wasa Road, Mirpur, Dhaka.",3,3,"4,700","1,565 sqft", per sqft
"462, South Monipur, Wasa Road, Mirpur, Dhaka.",2,3,"4,700","1,171 sqft", per sqft
"462, South Monipur, Wasa Road, Mirpur, Dhaka.",2,3,"4,700","1,136 sqft", per sqft
DOHS Mohakhali,4,3,"17,000,000","1,400 sqft", total price
"462, South Monipur, Wasa Road, Mirpur, Dhaka.",2,2,"4,700",823 sqft, per sqft
"462, South Monipur, Wasa Road, Mirpur, Dhaka.",2,2,"4,700",749 sqft, per sqft
"House # 269, New Elephant Road (Vojjo Teler Goli), Dhaka-1205.",3,3,"8,500","1,233 sqft", per sqft
"road-04,house-227,228,block-ta,secation-12",2,2,"2,800,000",750 sqft, total price
"plot: 8/9, road:4/2, block: B, Section: 11, Mirpur, pallabi, Dhaka",2,2,"3,500,000",819 sqft, total price
"1,Central Bashabo",3,3,"5,500","1,446 sqft", per sqft
"249/55,West Mollartak Borttola,Dakshinkhan,dhaka beside uttara sector-4",6,6,"4,800","2,500 sqft", per sqft
"তেতুল তলা, হজ্জ কেম্প, আশ কোনা এয়ারপোট, উওরা, ঢাকা।",2,3,"3,800","1,120 sqft", per sqft
"184/1 East Kazi Para, Mirpur, Dhaka -1216.",2,2,"3,600,000",880 sqft, total price
"Chandrima Model Town, Mohammadpur, Dhaka",2,2,"3,500,000","1,000 sqft", total price
"Plot # 22, Road # 27, Sector # 7, Uttara, Dhaka.",3,3,"9,250","2,070 sqft", per sqft
Gulshan,4,3,"23,500,000","2,200 sqft", total price
"Plot # 147, Road # 4, New DOHS, Mohakhali, Dhaka.",4,4,"15,500","2,700 sqft", per sqft
"Plot  # 18, Road # 10, Sector # 1, Uttara, Dhaka.",3,3,"9,250","2,090 sqft", per sqft
"1241/1 East Monipur, Mirpur, Dhaka -1216.",2,3,"4,000,000",880 sqft, total price
"road-15,house-37,block-d,section-12",3,3,"5,200,000","1,300 sqft", total price
"road-15,house-37,block-d,section-12",2,2,"2,700,000",650 sqft, total price
"এইস সানমুন প্যালেস, ৪৩/১৪, শেখেরটেক-৬, আদাবর, মহাম্মাদপুর, ঢাকা।",2,3,"3,900","1,150 sqft", per sqft
Near by Abahoni field & walking distance from Star kabab,3,3,"10,000,000","1,378 sqft", total price
"তেতুল তলা, হজ্জ কেম্প, আশ কোনা এয়ারপোট, উওরা, ঢাকা।",2,3,"3,800","1,120 sqft", per sqft
Bashundhara,4,3,"12,000,000","1,710 sqft", total price
Bashundhara,4,3,"12,000,000","1,710 sqft", total price
Bashundhara,4,3,"13,000,000","1,810 sqft", total price
Mirpur,4,3,"18,000,000","2,200 sqft", total price
Gulshan north,4,4,"19,200","4,000 sqft", per sqft
Gulshan north,4,4,"15,500","3,600 sqft", per sqft
"109/5/B, West Dhanmondi, Dhaka.",3,3,"6,800","1,255 sqft", per sqft
"1, Central Bashabo.",3,3,"5,500","1,477 sqft", per sqft
"road-1,house-10,block-b,section-12",6,6,"16,000,000","2,600 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,690","2,550 sqft", per sqft
"road-1,house-10,block-b,section-12",3,3,"8,000,000","1,300 sqft", total price
mirpur,2,2,"6,500",925 sqft, per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,563 sqft", per sqft
"road-07,house-119,block-b,section-12",3,3,"8,000,000","1,350 sqft", total price
"south mollartak borttola,beside airport hajjcamp civil aviation colony_ঢাকা ওয়াসা",2,3,"4,000,000","1,040 sqft", total price
"594,Chalabon,Dakshinkhan,Matir Mosjid,near CNG Pump & Santa Garments",2,2,"3,000,000",960 sqft, total price
"Plot No.109/5/B,west Dhanmondi,Dhaka.",3,3,"6,800","1,210 sqft", per sqft
"Road No # 129, Lake View, Gulshan- 01, Dhaka.",4,3,"28,000,000","2,835 sqft", total price
"Tetul Tola More, Ashkona, Hajj Camp, Air Port, And Dhaka.",2,3,"3,600","1,080 sqft", per sqft
"Basundhara R/A, Dhaka",3,3,"16,500,000","2,080 sqft", total price
"Janata Houing Ring Road ,Adabor Shyamoli , Mohammadpur",3,3,"5,750","1,443 sqft", per sqft
"Janata Houing Ring Road ,Adabor Shyamoli , Mohammadpur",2,3,"5,500","1,123 sqft", per sqft
"Janata Houing Ring Road ,Adabor Shyamoli , Mohammadpur",2,3,"5,350","1,217 sqft", per sqft
"Mirpur - 6 , Block - A , Section - 6 , Mirpur Dhaka 1216",2,2,"2,300,000",650 sqft, total price
Basundara R/A,3,3,"7,500","1,600 sqft", per sqft
"Airport(opposite of haj camp), Besides of sector- 4, Uttara, dhaka.",3,3,"4,500","1,090 sqft", per sqft
"Basundhara  R/A, Block# D.",3,3,"17,000,000","2,136 sqft", total price
"Sector# 07, Uttara, Dhaka, 1230.",3,3,"15,500,000","1,728 sqft", total price
"Sector # 04,Uttara Model Town, Dhaka-1230",3,3,"13,000,000","1,910 sqft", total price
"594,Chalabon,Dakshinkhan,Matir Mosjid,near CNG Pump & Santa Garments",2,2,"3,000,000",952 sqft, total price
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,887 sqft", per sqft
"Sector # 10, Dhaka-1230.",3,3,"7,750,000","1,550 sqft", total price
"Sector 13, Uttara,Dhaka",4,4,"10,500,000","1,800 sqft", total price
"Sector: 04, Uttara Model Town, Dhaka-1230.",3,3,"10,000,000","1,565 sqft", total price
"Sector: 04, Uttara Model Town, Dhaka-1230",3,3,"11,000,000","1,762 sqft", total price
NEAR TO SHEMOLY RING ROAD & ADABOR THANA,3,3,"5,400","1,550 sqft", per sqft
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",4,4,"6,500","2,142 sqft", per sqft
"Plot # 37, Road # Kallayanpur Main Road (Beside Jamey Mosque), Mirpur, Dhaka-1216.",3,3,"5,500","1,363 sqft", per sqft
"Plot # 37, Road # Kallayanpur Main Road (Beside Jamey Mosque), Mirpur, Dhaka-1216.",5,4,"5,500","1,954 sqft", per sqft
"261/3,manikdi namapara road,dhaka cantonment beside ECB chottor",2,3,"3,500","1,184 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A ( Near Mehedi Mart)",5,4,"8,700","2,563 sqft", per sqft
"manikdi ,namapara mosque,Cantonment, Dhaka.",2,3,"3,500","1,200 sqft", per sqft
"Gausul Azam Avenue, Sector 13, Uttara, Dhaka, 1230.",3,3,"16,000,000","2,257 sqft", total price
"ফায়দাবাদ মেইন রোড(মিজানের গ্যারেজ), দক্ষিণখান, উত্তরা, ঢাকা-১২৩০।",2,3,"3,800","1,050 sqft", per sqft
"Sector: 11, Dhaka-1230.",3,3,"9,200,000","1,400 sqft", total price
"Sher-E-Bangla Road, Katasur, Mohammadpur, Dhaka.",2,2,"5,500,000","1,060 sqft", total price
"Solimuddin Market Road , Mirpur-1, Dhaka-1216",3,3,"4,000,000","1,250 sqft", total price
"Sher-E-Bangla Road, Katasur, Mohammadpur, Dhaka.",2,2,"5,000,000",960 sqft, total price
Gulshan2 New Building Flat For Sale,3,3,"30,000,000","2,330 sqft", total price
"Airport,opposite of haj camp,",3,3,"4,500","1,060 sqft", per sqft
"27/28, Bahadurpur Lane, Faridabad, Gandaria",3,3,"4,200","1,252 sqft", per sqft
18/1 main road kallayanpur,3,3,"5,500","1,350 sqft", per sqft
"Plot - 333, Road - 17, Block - E, Basundhara R/A",4,3,"10,800,000","1,750 sqft", total price
"Jamtola, Azampur KachaBazar, Dakshin Khan, Uttara, Dhaka",3,3,"5,500,000","1,300 sqft", total price
"Bashundhora A block,",4,3,"13,000,000","2,200 sqft", total price
"Plot-?, Road-3, Sector-9, Uttara, Dhaka.",3,3,"16,900,000","1,781 sqft", total price
"Manikdi,Namapara Mosque,cantonment, Dhaka.",2,3,"3,500","1,198 sqft", per sqft
"Airport,Opposite off haj camp",2,3,"4,000,000","1,055 sqft", total price
Mirpur,4,3,"18,000,000","2,200 sqft", total price
"Section -15, Behind police staff quarter,Mirpur-14.",4,3,"6,500,000","1,405 sqft", total price
"Tetul Tola More, Ashkona, Hajj Camp, Air Port, And Dhaka.",2,3,"3,600","1,080 sqft", per sqft
"BANANI G BLOCK, NEAR TO BANANI 11 NO. ROAD",4,3,"18,900,000","1,890 sqft", total price
"তেতুল তলা, হজ্জ কেম্প, আশ কোনা এয়ারপোট, উওরা, ঢাকা।",2,3,"3,600","1,080 sqft", per sqft
"Modhumita Road, Tongi",2,3,"3,500","1,050 sqft", per sqft
"nokshikola city center,ati bazer cng stand,near md.pur,dhaka",3,3,"3,300","1,250 sqft", per sqft
"nokshikola city center,ati bazer cng stand,near md.pur,dhaka",2,3,"3,300","1,050 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,550 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A ( Near Mehedi Mart)",5,4,"8,690","2,552 sqft", per sqft
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",4,4,"6,500","2,136 sqft", per sqft
"Sahjadpur,Gulshan, Dhaka",3,3,"9,000,000","1,450 sqft", total price
Uttara,4,3,"50,000","2,350 sqft", /month
"road-07,house-119,block-b,section-12",3,3,"8,000,000","1,350 sqft", total price
"road-15,house-37,block-d,section-12",2,2,"2,700,000",650 sqft, total price
"weastmanikdi namapara road,dhaka cantonment beside ECB chottor",2,3,"3,500","1,222 sqft", per sqft
Gulshan_2,5,4,"32,000,000","3,000 sqft", total price
"ঠিকানা: ১৪১৯/এ , খিলগাঁও ( থানা সংলগ্ন )",3,3,"8,500,000","1,153 sqft", total price
BasundaraR/A,3,3,"6,400","1,550 sqft", per sqft
Gulshan,5,5,"17,000","6,550 sqft", per sqft
Shaymoli,3,3,"7,300,000","1,400 sqft", total price
"109/5/B, West Dhanmondi, Dhaka.",3,3,"6,800","1,248 sqft", per sqft
"Plot # 35, Road # 1, Dhanmondi R/A, Dhaka-1209",5,4,"14,000","1,410 sqft", per sqft
"Road 41, Gulshan, Dhaka.",3,3,"32,000,000","2,700 sqft", total price
"road-15,house-37,block-d,section-12",3,3,"5,200,000","1,300 sqft", total price
"road-15,house-37,block-d,section-12",2,2,"2,700,000","1,300 sqft", total price
"road-2,house-24,block-b,section-12",3,3,"7,000,000","1,350 sqft", total price
NEAR BY EASTERN BONOBITHI MARKET- SOUTH BANASREE,3,3,"5,800,000","1,267 sqft", total price
"south mollartak borttola,beside airport hajjcamp civil aviation colony_ঢাকা ওয়াসা পানির পাম্প",2,3,"4,000,000","1,035 sqft", total price
Basundhara R/A,3,3,"5,650","1,550 sqft", per sqft
"Plot: 310, Road No: 10, Block: J, Bashundhara R/A",4,3,"6,500","1,894 sqft", per sqft
"Mirpur 10, Dhaka.",3,3,"6,300","1,250 sqft", per sqft
"Sarker Sayda Kutir, , Sangrami Sarani Road, Azampur( Near of 04 Sector at Uttara,Dhaka-1230",3,3,"4,500","1,391 sqft", per sqft
Uttara,4,3,"13,000,000","1,686 sqft", total price
Uttara,4,3,"15,000,000","1,686 sqft", total price
East-Rampura-TV-Road-Rampura,3,3,"5,000","1,495 sqft", per sqft
"Plot # 35, Road # 18, Sector # 07, Uttara Model Town, Dhaka.",4,3,"8,500","1,863 sqft", per sqft
"Plot # 10, Road # 16, Sector # 04, Uttara Model Town, Dhaka.",5,4,"8,800","2,192 sqft", per sqft
"Near Sagupta Housing, Alubdirtek, Pallabi",4,4,"6,000,000","1,800 sqft", total price
"Alabdirtek, Pallabi, Dhaka.",2,3,"3,200","1,004 sqft", per sqft
"মৈনারটেক বাজার, উত্তরখান, আবদুল্লাপুর, ঢাকা-১২৩০ ।",2,3,"2,000","1,000 sqft", per sqft
"8/15, Block B, Lalmatia, Dhaka",3,3,"10,000","1,325 sqft", per sqft
"Plot # 253, Road # 07, Block # I, Bashundhara R/A, Dhaka-1229.",4,3,"6,800","1,650 sqft", per sqft
"109/5/B, West Dhanmondi, Dhaka.",3,3,"6,800","1,265 sqft", per sqft
"1, Central Bashabo.",3,3,"5,500","1,474 sqft", per sqft
"H # 110, R # 03  Block # F, Banani, Dhaka",3,3,"13,500","2,180 sqft", per sqft
"470 & 471, Malibag Bazar Road",3,3,"5,850","1,120 sqft", per sqft
"470 & 471, Malibag Bazar Road",2,2,"5,850",940 sqft, per sqft
"House-170, Road No.-04, Block –B,  Basundhara, Dhaka-1229",3,3,"9,000","2,000 sqft", per sqft
"House-408, Aftab Uddin Ahmed Road, Block –C, Basundhara, Dhaka-1229",3,3,"9,500","1,590 sqft", per sqft
"House-408, Aftab Uddin Ahmed Road, Block –C, Basundhara, Dhaka-1229",3,3,"9,500","1,595 sqft", per sqft
"153/B, Khilgaon, Dhaka",3,3,"7,000","1,275 sqft", per sqft
"153/B, Khilgaon, Dhaka",3,3,"7,000","1,285 sqft", per sqft
"Plot # 39/1 & 39/1/1, Road No.-04,  Shaymoli, Dhaka",3,3,"7,000","1,190 sqft", per sqft
"Plot # 39/1 & 39/1/1, Road No.-04,  Shaymoli, Dhaka",3,3,"7,000","1,170 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,556 sqft", per sqft
"nokshikola city center,ati bazer cng stand,near md.pur,dhaka",2,3,"3,300","1,000 sqft", per sqft
"nokshikola tower 2,md.pur near ata bazer cng stand,dhaka",5,5,"3,200","1,850 sqft", per sqft
"nokshikola tower 2,md.pur near ati bazer,dhaka",2,2,"3,200",700 sqft, per sqft
"5 west kafrul, Sher-E Bangla nagar , Taltola, Dhaka",2,3,"5,500","1,010 sqft", per sqft
"Modumitha Road, Tongi.",2,3,"3,500","1,060 sqft", per sqft
Bashundhara,3,3,"11,499,996","1,400 sqft", total price
Bashundhara,3,3,"11,500,000","1,400 sqft", total price
Bashundhara,3,3,"11,500,000","1,400 sqft", total price
Mirpur,2,3,"5,600,000","1,131 sqft", total price
Mirpur,2,3,"5,600,000","1,131 sqft", total price
Mirpur,2,3,"6,000,000","1,131 sqft", total price
"Airport, Opposite of haj camp, Ashkona, Dhaka.",3,3,"4,500","1,060 sqft", per sqft
gulshan,5,4,"55,000,000","3,850 sqft", total price
Basundhara R/A,3,3,"6,350","1,550 sqft", per sqft
"House- e14, Road- 7, Arambagh Housing , Mirpur",3,3,"5,200","1,760 sqft", per sqft
"Airport. opposite of haj camp, Ashkona, Dhaka.",2,3,"4,000,000","1,054 sqft", total price
"Manikdi, cantonment,dhaka.",2,3,"3,500","1,205 sqft", per sqft
Mohakhali DOHS,6,4,"17,000","3,420 sqft", per sqft
"H- E14, Road - 7 , Arambagh Housing , Mirpur",3,3,"5,200","1,750 sqft", per sqft
"House- e14, Road- 7, Arambagh Housing , Mirpur",3,3,"5,200","1,760 sqft", per sqft
"249/1, south jatrabari",3,3,"5,000","1,241 sqft", per sqft
"Titas Road, Block #A, Banasree, Rampura Dhaka",3,3,"5,200","1,600 sqft", per sqft
"House- e14, Road- 7, Arambagh Housing , Mirpur",3,3,"5,200","1,760 sqft", per sqft
Bashundhara,5,4,"7,100","3,008 sqft", per sqft
"109/5/B, West Dhanmondi, Dhaka.",3,3,"6,800","1,239 sqft", per sqft
"1, Central Bashabo.",3,3,"5,500","1,455 sqft", per sqft
Baridhara diplomatic zone,3,3,"22,000","3,475 sqft", per sqft
"109/5/B,west Dhanmondi",3,3,"6,800","1,213 sqft", per sqft
"Plot # 221, Road # 08, Block # J, Bashundhara R/A, Dhaka-1229.",5,4,"6,800","2,450 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A ( Near Mehedi Mart)",5,4,"8,700","2,557 sqft", per sqft
"road-1,house-10,block-b,section-12",6,6,"16,000,000","2,600 sqft", total price
"Plot # 35, Road # 1, Dhanmondi R/A, Dhaka-1209",5,4,"14,000","2,735 sqft", per sqft
"Solimuddin Market Road , Mirpur-1, Dhaka-1216",6,7,"8,500,000","2,500 sqft", total price
"road-1,house-10,block-b,section-12",3,3,"8,000,000","1,300 sqft", total price
Mirpur - 15 Behind Police Staff Quarter,4,3,"4,500","1,400 sqft", per sqft
"Plot: 448, Road No: 09, Block: K, Bashundhara R/A",4,4,"6,500","2,135 sqft", per sqft
"road-07,house-119,block-b,section-12",3,3,"8,000,000","1,350 sqft", total price
"Purba Ashkona, near Hajj camp. Uttara.",2,3,"4,300,000","1,150 sqft", total price
Khilgaon,2,1,"6,000","1,760 sqft", per sqft
"west dhanmondy,modhubazar,shoto moszid,",3,3,"5,300","1,300 sqft", per sqft
"Modhubag, Mogbazar (5 mins walking distance from Hatirjheel)",3,3,"5,000","1,180 sqft", per sqft
"Arambag Housing, Mirpur",3,3,"5,700","1,410 sqft", per sqft
"Cholintika Mor, Mirpur 6",4,3,"7,000,000","1,346 sqft", total price
"310 Ahamed Nagor, picke para, Mirpur-1, Dhaka -1216.",3,3,"4,500,000","1,038 sqft", total price
"Block C, Bashundhara",3,3,"9,500,000","1,200 sqft", total price
"Plot-81, Road no-05, Block-D, Bashundhara R/A",5,4,"8,700","2,564 sqft", per sqft
"Plot-81, Road no-05, Block-D, Bashundhara R/A ( Near Mehedi Mart)",5,4,"23,900,000","2,560 sqft", total price
"Plot# 30/C, Road # 02, Block # D , Bashundhara Residential area , Baridhara , Dhaka",3,3,"6,500","1,300 sqft", per sqft
"M0dumita Road, Tongi.",2,3,"3,500","1,060 sqft", per sqft
"Modhumoti Road,Tongi",2,3,"3,500","1,060 sqft", per sqft
"Modumita road,Tongi.",2,3,"3,500","1,060 sqft", per sqft
Modumita Road(opposite rising sun kinder garden school).Tongi. Dhaka.,2,3,"3,500","1,060 sqft", per sqft
"247 Free School Street, Kathal Bagan, Dhaka.",3,3,"8,400,000","1,385 sqft", total price
"road-03, Mohammadi Housing Limited, Mohammadpur, Dhaka",4,3,"7,000,000","1,476 sqft", total price
"Plot 1130, Road 10, Avenue 8",2,3,"6,700","1,100 sqft", per sqft
"South monipur,60 feet,Bareak mollar mor,Mirpur-02",3,3,"4,600,000","1,135 sqft", total price
"Solimuddin Market Road , Mirpur-1, Dhaka-1216",4,4,"5,000,000","1,500 sqft", total price
GULSHAN Dhaka,6,5,"15,000","4,700 sqft", per sqft
Basundhara R/A,3,3,"6,350","1,550 sqft", per sqft
Baridhara diplomatic zone,4,4,"22,000","3,500 sqft", per sqft
"Address: Holding # 465 , Senpara Porbota, Mirpur 13, Dhaka",3,3,"4,800","1,420 sqft", per sqft
suvastu nazar vally,1,1,"2,700,000",550 sqft, total price
